"filename", "language", "Python", "Markdown", "YAML", "MS SQL", "JSON", "comment", "blank", "total"
"e:\projetos\pie\.github\workflows\ci.yml", "YAML", 0, 0, 32, 0, 0, 0, 11, 43
"e:\projetos\pie\README.md", "Markdown", 0, 226, 0, 0, 0, 0, 82, 308
"e:\projetos\pie\README.pt-BR.md", "Markdown", 0, 226, 0, 0, 0, 0, 82, 308
"e:\projetos\pie\docs\architecture.md", "Markdown", 0, 93, 0, 0, 0, 0, 18, 111
"e:\projetos\pie\docs\assistant_architecture.md", "Markdown", 0, 100, 0, 0, 0, 0, 43, 143
"e:\projetos\pie\docs\core_v1_gap_analysis.md", "Markdown", 0, 94, 0, 0, 0, 0, 34, 128
"e:\projetos\pie\docs\current_state.md", "Markdown", 0, 103, 0, 0, 0, 0, 29, 132
"e:\projetos\pie\docs\data_model.md", "Markdown", 0, 93, 0, 0, 0, 0, 26, 119
"e:\projetos\pie\docs\git_publication_checklist.md", "Markdown", 0, 44, 0, 0, 0, 0, 17, 61
"e:\projetos\pie\docs\human_review_design.md", "Markdown", 0, 182, 0, 0, 0, 0, 84, 266
"e:\projetos\pie\docs\phase_2c_issues.md", "Markdown", 0, 198, 0, 0, 0, 0, 97, 295
"e:\projetos\pie\docs\privacy.md", "Markdown", 0, 57, 0, 0, 0, 0, 27, 84
"e:\projetos\pie\docs\review_edit_design.md", "Markdown", 0, 173, 0, 0, 0, 0, 70, 243
"e:\projetos\pie\docs\roadmap.md", "Markdown", 0, 82, 0, 0, 0, 0, 33, 115
"e:\projetos\pie\docs\troubleshooting.md", "Markdown", 0, 45, 0, 0, 0, 0, 21, 66
"e:\projetos\pie\docs\usage_playbook.md", "Markdown", 0, 134, 0, 0, 0, 0, 51, 185
"e:\projetos\pie\docs\vision.md", "Markdown", 0, 45, 0, 0, 0, 0, 21, 66
"e:\projetos\pie\examples\sample_entries.json", "JSON", 0, 0, 0, 0, 33, 0, 1, 34
"e:\projetos\pie\migrations\001_initial_schema.sql", "MS SQL", 0, 0, 0, 85, 0, 3, 7, 95
"e:\projetos\pie\migrations\002_add_review_audit_actions.sql", "MS SQL", 0, 0, 0, 60, 0, 4, 6, 70
"e:\projetos\pie\migrations\003_create_structured_entry_revisions.sql", "MS SQL", 0, 0, 0, 13, 0, 2, 2, 17
"e:\projetos\pie\personal_intelligence_engine\__init__.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
