"filename", "language", "JSON", "Markdown", "Python", "MS SQL", "YAML", "comment", "blank", "total"
"e:\projetos\pie\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 32, 0, 11, 43
"e:\projetos\pie\README.md", "Markdown", 0, 227, 0, 0, 0, 0, 83, 310
"e:\projetos\pie\README.pt-BR.md", "Markdown", 0, 227, 0, 0, 0, 0, 83, 310
"e:\projetos\pie\docs\architecture.md", "Markdown", 0, 93, 0, 0, 0, 0, 18, 111
"e:\projetos\pie\docs\assistant_architecture.md", "Markdown", 0, 100, 0, 0, 0, 0, 43, 143
"e:\projetos\pie\docs\core_v1_gap_analysis.md", "Markdown", 0, 100, 0, 0, 0, 0, 36, 136
"e:\projetos\pie\docs\current_state.md", "Markdown", 0, 108, 0, 0, 0, 0, 29, 137
"e:\projetos\pie\docs\data_model.md", "Markdown", 0, 112, 0, 0, 0, 0, 28, 140
"e:\projetos\pie\docs\git_publication_checklist.md", "Markdown", 0, 44, 0, 0, 0, 0, 17, 61
"e:\projetos\pie\docs\human_review_design.md", "Markdown", 0, 182, 0, 0, 0, 0, 84, 266
"e:\projetos\pie\docs\phase_2c_issues.md", "Markdown", 0, 198, 0, 0, 0, 0, 97, 295
"e:\projetos\pie\docs\privacy.md", "Markdown", 0, 72, 0, 0, 0, 0, 33, 105
"e:\projetos\pie\docs\review_edit_design.md", "Markdown", 0, 173, 0, 0, 0, 0, 70, 243
"e:\projetos\pie\docs\roadmap.md", "Markdown", 0, 86, 0, 0, 0, 0, 33, 119
"e:\projetos\pie\docs\simulated_usage_report.md", "Markdown", 0, 202, 0, 0, 0, 0, 51, 253
"e:\projetos\pie\docs\troubleshooting.md", "Markdown", 0, 60, 0, 0, 0, 0, 28, 88
"e:\projetos\pie\docs\usage_playbook.md", "Markdown", 0, 152, 0, 0, 0, 0, 60, 212
"e:\projetos\pie\docs\vision.md", "Markdown", 0, 45, 0, 0, 0, 0, 21, 66
"e:\projetos\pie\examples\sample_entries.json", "JSON", 33, 0, 0, 0, 0, 0, 1, 34
"e:\projetos\pie\migrations\001_initial_schema.sql", "MS SQL", 0, 0, 0, 85, 0, 3, 7, 95
"e:\projetos\pie\migrations\002_add_review_audit_actions.sql", "MS SQL", 0, 0, 0, 60, 0, 4, 6, 70
"e:\projetos\pie\migrations\003_create_structured_entry_revisions.sql", "MS SQL", 0, 0, 0, 13, 0, 2, 2, 17
"e:\projetos\pie\migrations\004_add_soft_delete.sql", "MS SQL", 0, 0, 0, 2, 0, 2, 2, 6
"e:\projetos\pie\migrations\005_add_delete_audit_actions.sql", "MS SQL", 0, 0, 0, 63, 0, 4, 6, 73
"e:\projetos\pie\personal_intelligence_engine\__init__.py", "Python", 0, 0, 1, 0, 0, 1, 2, 4
"e:\projetos\pie\personal_intelligence_engine\app\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"e:\projetos\pie\personal_intelligence_engine\app\adapters\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"e:\projetos\pie\personal_intelligence_engine\app\adapters\fake_extractor.py", "Python", 0, 0, 61, 0, 0, 39, 12, 112
"e:\projetos\pie\personal_intelligence_engine\app\adapters\local_llm_extractor.py", "Python", 0, 0, 304, 0, 0, 17, 58, 379
"e:\projetos\pie\personal_intelligence_engine\app\adapters\markdown_writer.py", "Python", 0, 0, 75, 0, 0, 23, 23, 121
"e:\projetos\pie\personal_intelligence_engine\app\cli\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"e:\projetos\pie\personal_intelligence_engine\app\cli\commands.py", "Python", 0, 0, 721, 0, 0, 104, 122, 947
"e:\projetos\pie\personal_intelligence_engine\app\config.py", "Python", 0, 0, 115, 0, 0, 8, 13, 136
"e:\projetos\pie\personal_intelligence_engine\app\domain\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"e:\projetos\pie\personal_intelligence_engine\app\domain\schemas.py", "Python", 0, 0, 224, 0, 0, 36, 72, 332
"e:\projetos\pie\personal_intelligence_engine\app\domain\types.py", "Python", 0, 0, 40, 0, 0, 7, 19, 66
"e:\projetos\pie\personal_intelligence_engine\app\evaluation\__init__.py", "Python", 0, 0, 23, 0, 0, 1, 3, 27
"e:\projetos\pie\personal_intelligence_engine\app\evaluation\report.py", "Python", 0, 0, 77, 0, 0, 3, 17, 97
"e:\projetos\pie\personal_intelligence_engine\app\evaluation\runner.py", "Python", 0, 0, 103, 0, 0, 10, 30, 143
"e:\projetos\pie\personal_intelligence_engine\app\evaluation\scoring.py", "Python", 0, 0, 103, 0, 0, 15, 46, 164
"e:\projetos\pie\personal_intelligence_engine\app\main.py", "Python", 0, 0, 623, 0, 0, 103, 83, 809
"e:\projetos\pie\personal_intelligence_engine\app\prompts\extraction_prompt.md", "Markdown", 0, 31, 0, 0, 0, 0, 7, 38
"e:\projetos\pie\personal_intelligence_engine\app\repositories\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"e:\projetos\pie\personal_intelligence_engine\app\repositories\audit_repository.py", "Python", 0, 0, 34, 0, 0, 10, 9, 53
"e:\projetos\pie\personal_intelligence_engine\app\repositories\database.py", "Python", 0, 0, 124, 0, 0, 43, 37, 204
"e:\projetos\pie\personal_intelligence_engine\app\repositories\entries_repository.py", "Python", 0, 0, 278, 0, 0, 241, 27, 546
"e:\projetos\pie\personal_intelligence_engine\app\repositories\reports_repository.py", "Python", 0, 0, 29, 0, 0, 9, 8, 46
"e:\projetos\pie\personal_intelligence_engine\app\repositories\revisions_repository.py", "Python", 0, 0, 31, 0, 0, 14, 8, 53
"e:\projetos\pie\personal_intelligence_engine\app\services\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"e:\projetos\pie\personal_intelligence_engine\app\services\audit_service.py", "Python", 0, 0, 23, 0, 0, 11, 8, 42
"e:\projetos\pie\personal_intelligence_engine\app\services\backup_export_service.py", "Python", 0, 0, 121, 0, 0, 18, 36, 175
"e:\projetos\pie\personal_intelligence_engine\app\services\extraction_service.py", "Python", 0, 0, 12, 0, 0, 16, 11, 39
